Event,Event_Date,First_Trading_Date,End_Date,Trading_Days,Valid_Observations,Return_Horizon,Beta,HAC_SE,z_stat,p_value,R_squared,N,Significance
US_Iran_War,2026-02-28,2026-03-02,2026-08-24,121,116,5D,0.013423481851676163,0.008675248720377804,1.547331066156634,0.12178343425324029,0.07145965809836086,116,Not Significant
WMO_ElNino_Confirmed,2026-07-03,2026-07-03,2026-08-24,37,32,5D,0.08130872946136034,0.038029153012894557,2.138063117887242,0.03251162083304949,0.2314655577982241,32,**
WMO_Strong_ElNino,2026-07-31,2026-07-31,2026-08-24,17,12,5D,0.2779196430037549,0.20169263814583072,1.3779364758113255,0.1682229018989022,0.09508912987511597,12,Not Significant
